CountryCode,Year,MilkPrice (Per 100 KG €),DairyCowPopulation,BovinePopulation,BovineMeatWeight(Tonnes)
DE,2010,31.23,4181680,12706230,1186720
DE,2011,35.19,4190100,12527840,1159000
DE,2012,32.39,4190490,12506770,1140000
DE,2013,38.05,4267610,12685990,1106000
DE,2014,37.85,4295680,12742190,1128000
DE,2015,29.59,4284640,12635460,1124000
DE,2016,27.2,4217700,12466590,1148000
DE,2017,35.1,4199010,12281200,1124000
DE,2018,34.72,4100860,11949090,1102000
DE,2019,33.7,4011670,11639530,1106000
DE,2020,33.56,3921410,11301860,1090000
DE,2021,36.4,3832720,11039660,1072020
