CountryCode,Year,MilkPrice (Per 100 KG €),DairyCowPopulation,BovinePopulation,BovineMeatWeight(Tonnes)
ES,2010,29.56,845290,6075080,606590
ES,2011,30.87,797890,5923110,604110
ES,2012,30.4,827210,5812610,591380
ES,2013,33.83,844060,5802220,580840
ES,2014,35.38,844790,6078730,578600
ES,2015,31.37,844110,6182910,626100
ES,2016,29.12,834450,6317640,637010
ES,2017,30.95,823390,6465750,643860
ES,2018,31.23,816690,6510590,669010
ES,2019,31.85,812870,6600330,695170
ES,2020,32.27,810740,6636430,677740
ES,2021,33.26,808860,6576300,717880
