DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2010,1186.72,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2011,1159.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2012,1140.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2013,1106.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2014,1128.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2015,1124.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2016,1148.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2017,1124.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2018,1102.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2019,1106.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2020,1090.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2021,1072.02,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2010,606.59,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2011,604.11,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2012,591.38,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2013,580.84,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2014,578.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2015,626.10,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2016,637.01,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2017,643.86,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2018,669.01,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2019,695.17,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2020,677.74,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2021,717.88,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2010,559.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2011,546.76,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2012,495.40,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2013,517.57,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2014,581.81,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2015,564.14,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2016,588.36,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2017,617.02,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2018,622.54,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2019,619.80,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2020,633.38,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,IE,2021,594.51,
