Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","1998","1998","7021","Annual value","USD","3717.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","1999","1999","7021","Annual value","USD","4212.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2000","2000","7021","Annual value","USD","4035.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2001","2001","7021","Annual value","USD","4063.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2002","2002","7021","Annual value","USD","4566.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2003","2003","7021","Annual value","USD","5694.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2004","2004","7021","Annual value","USD","7073.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2005","2005","7021","Annual value","USD","3354.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2006","2006","7021","Annual value","USD","4077.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2007","2007","7021","Annual value","USD","4257.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2008","2008","7021","Annual value","USD","4410.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2009","2009","7021","Annual value","USD","5264.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2010","2010","7021","Annual value","USD","5772.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2011","2011","7021","Annual value","USD","6323.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","2012","2012","7021","Annual value","USD","6008.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2013","2013","7021","Annual value","USD","5204.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2014","2014","7021","Annual value","USD","5915.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2015","2015","7021","Annual value","USD","4787.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2016","2016","7021","Annual value","USD","5161.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2017","2017","7021","Annual value","USD","5422.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2018","2018","7021","Annual value","USD","5580.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2019","2019","7021","Annual value","USD","5920.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2020","2020","7021","Annual value","USD","5651.8","A","Official figure"
"PP","Producer Prices","040","Austria","5532","Producer Price (USD/tonne)","21124","Meat of turkeys, fresh or chilled","1993","1993","7021","Annual value","USD","2481.7","A","Official figure"
