DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2012,214.93,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2013,211.42,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2014,205.26,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2015,214.22,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2016,209.68,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2017,216.96,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2018,217.52,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2019,209.12,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2020,207.44,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,AT,2021,236.59,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2012,180.73,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2013,182.09,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2014,168.85,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2015,156.80,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2016,144.60,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2017,152.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2018,156.68,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2019,165.71,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2020,173.71,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BE,2021,179.88,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2012,105.47,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2013,128.25,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2014,112.07,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2015,130.97,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2016,114.30,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2017,116.33,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2018,125.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2019,149.75,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2020,151.46,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,BG,2021,153.26,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2012,145.70,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2013,145.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2014,145.30,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2015,143.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2016,140.73,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2017,139.57,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2018,140.64,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2019,139.88,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2020,153.90,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CY,2021,156.38,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2012,258.46,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2013,230.95,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2014,199.74,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2015,223.62,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2016,173.67,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2017,180.35,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2018,184.66,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2019,179.78,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2020,171.54,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,CZ,2021,182.68,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2012,185.26,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2013,186.38,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2014,181.50,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2015,180.06,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2016,170.31,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2017,170.38,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2018,169.56,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2019,162.08,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2020,162.53,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,DK,2021,171.57,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2012,243.31,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2013,251.81,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2014,251.89,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2015,231.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2016,239.64,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2017,248.58,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2018,235.08,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2019,226.69,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2020,215.41,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,ES,2021,227.71,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,FR,2012,347.39,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,FR,2013,352.77,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,FR,2014,338.30,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,FR,2015,337.90,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,FR,2016,324.80,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2012,203.68,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2013,192.25,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2014,194.06,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2015,197.50,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2016,199.99,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2017,204.83,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2018,204.97,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2019,203.15,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2020,194.10,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,HR,2021,209.94,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2012,215.51,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2013,204.76,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2014,198.95,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2015,223.33,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2016,206.88,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2017,207.37,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2018,197.74,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2019,192.25,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2020,199.01,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,IE,2021,214.48,
