DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2014,499.69,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2015,505.77,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2016,496.99,p
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2017,475.22,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2018,467.32,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2019,415.61,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2020,362.58,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AL,2021,336.78,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2013,1958.28,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2014,1961.20,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2015,1957.61,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2016,1954.39,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2017,1943.48,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2018,1912.81,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2019,1879.52,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2020,1855.43,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,AT,2021,1870.10,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2013,447.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2014,444.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2015,455.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2016,455.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2017,445.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2018,438.00,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2019,430.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BA,2020,427.00,e
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2013,2441.32,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2014,2477.24,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2015,2503.26,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2016,2501.35,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2017,2385.99,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2018,2398.09,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2019,2373.10,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2020,2335.44,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BE,2021,2310.44,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2013,585.55,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2014,562.36,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2015,561.04,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2016,570.14,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2017,552.92,p
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2018,542.12,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2019,527.19,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2020,588.91,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,BG,2021,611.20,
ESTAT:APRO_MT_LSCATL$DEFAULTVIEW(1.0),04/01/23 23:00:00,A,A2000,M12,THS_HD,CH,2015,1567.14,
