DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2010,31.23,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2011,35.19,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2012,32.39,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2013,38.05,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2014,37.85,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2015,29.59,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2016,27.20,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2017,35.10,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2018,34.72,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2019,33.70,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2020,33.56,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,DE,2021,36.40,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2010,29.56,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2011,30.87,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2012,30.40,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2013,33.83,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2014,35.38,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2015,31.37,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2016,29.12,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2017,30.95,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2018,31.23,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2019,31.85,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2020,32.27,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,ES,2021,33.26,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2010,28.15,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2011,33.55,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2012,30.83,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2013,37.76,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2014,36.42,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2015,28.64,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2016,27.25,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2017,36.31,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2018,33.87,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2019,32.53,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2020,33.03,
ESTAT:TAG00070(1.0),27/11/22 23:00:00,A,EUR,12112000,IE,2021,38.31,
